moa,name
fungal lanosterol demethylase inhibitor,chlormidazole
gamma hydroxybutyric acid ligand,trans-4-Hydroxycrotonic-acid
tyrosine phosphatase inhibitor,sodium-stibogluconate
,isopropyl-myristate
cholinergic receptor antagonist,oxyphencyclimine
mucolytic agent,acetylcysteine
DNA inhibitor,mechlorethamine
HDAC inhibitor,vorinostat
chelating agent,penicillamine-(D)
pyruvate dehydrogenase kinase inhibitor,dichloroacetate
G protein-coupled receptor agonist,oleanolic-acid
calcineurin inhibitor,cyclosporine
"ALK tyrosine kinase receptor inhibitor, EGFR inhibitor",brigatinib
P glycoprotein inhibitor,elacridar
tubulin polymerization inhibitor,BNC105
tyrosine phosphatase inhibitor,bis(maltolato)oxovanadium(IV)
,carboxypyridine-disulfide
"Bcr-Abl kinase inhibitor, LYN tyrosine kinase inhibitor",bafetinib
phosphodiesterase inhibitor,enoximone
topoisomerase inhibitor,beta-lapachone
calcium channel blocker,carboxyamidotriazole
breast cancer resistance protein inhibitor,cyclovalone
FGFR inhibitor,erdafitinib
sodium channel blocker,cibenzoline
"JAK inhibitor, STAT inhibitor",atiprimod
purinergic receptor antagonist,forodesine
"apoptosis stimulant, retinoid receptor agonist",fenretinide
topoisomerase inhibitor,etoposide-phosphate
GABA benzodiazepine site receptor agonist,gidazepam
HDAC inhibitor,chidamide
voltage-gated sodium channel blocker,brivaracetam
benzodiazepine receptor agonist,bentazepam
"PI3K inhibitor, mTOR inhibitor",LY3023414
,hexaminolevulinate
syk inhibitor,GS-9973
ALK tyrosine kinase receptor inhibitor,lorlatinib
protein phosphatase inhibitor,GSK2830371
cytochrome P450 inhibitor,metyrapone
XIAP inhibitor,idronoxil
FLT3 inhibitor,gilteritinib
STAT inhibitor,napabucasin
kinesin-like spindle protein inhibitor,litronesib
"AKT inhibitor, MAP kinase inhibitor",ONC201
PARP inhibitor,niraparib
CHK inhibitor,LY2606368
CDK inhibitor,indisulam
"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",motesanib
cytokine production inhibitor,JTE-607
EGFR inhibitor,poziotinib
"metalloproteinase inhibitor, EGFR inhibitor",salvianolic-acid-B
protein synthesis inhibitor,tedizolid-phosphate
"adenosine deaminase inhibitor, ribonucleotide reductase inhibitor",pentostatin
topoisomerase inhibitor,topotecan
sodium/glucose cotransporter inhibitor,tofogliflozin
EGFR inhibitor,tucatinib
tubulin polymerization inhibitor,vindesine
"microtubule inhibitor, tubulin polymerization inhibitor",vinblastine
histone lysine methyltransferase inhibitor,UNC0631
"serotonin receptor agonist, dopamine receptor agonist",pardoprunox
topoisomerase inhibitor,rubitecan
microtubule inhibitor,vinflunine
"EGFR inhibitor, VEGFR inhibitor",XL-647
PI3K inhibitor,PI3K-IN-2
tubulin polymerization inhibitor,verubulin
ATR kinase inhibitor,VE-822
